delay,heading,ramp_inclinaison,motor_name,radius,mass,inertia,center_of_mass_without_motor,cone_length,rocket_length,fin_cat,number_of_ailerons,root_chord,tip_chord,span,fins_pos,fin_inclinaison,drag_coeff,trigger,rocket_id,trajectory_file
0,25.62346469474352,86.85997966813204,Pro75M1670,0.1332852161951081,8.289683045582194,"(9.702787320691217, 9.702787320691217, 0.00925759865072964)",2.143695025314268,0.40714387520932765,2.9596863882136675,trapezoidal,4,0.24948370472770293,0.17823239943220437,0.23111233672240902,0.09216048450369085,0.0,1.0687308416234398,apogee,rocket_0000,dataset\trajectories\rocket_0000_trajectory.csv
4,53.84995726321823,87.36150309744092,Pro54-5G Barasinga,0.0794486303576085,14.921012651504862,"(19.9685239352029, 19.9685239352029, 0.019132646434804633)",1.60813633440247,0.2979836660812797,2.0740752370295987,elyptique,4,0.31698457701731886,0.11284158072290261,0.20928712922978077,0.03172574650673648,0.0,1.076493536084758,apogee,rocket_0001,dataset\trajectories\rocket_0001_trajectory.csv
9,289.4087447112799,88.2974668405192,Pro75-3G,0.04202507628028696,21.3553155059145,"(12.485176767596492, 12.485176767596492, 0.05903921118057283)",1.700457340450717,0.4267088294725174,2.3324177883460706,elyptique,4,0.21118600830284445,0.1584257523512685,0.1160956129043613,0.045829792323282874,0.0,0.9120056580720689,apogee,rocket_0002,dataset\trajectories\rocket_0002_trajectory.csv
10,161.8699281345062,85.47414634814376,Pro54-5G Barasinga,0.08537219305662389,17.44489286298458,"(13.826496590864096, 13.826496590864096, 0.043955045679260424)",1.3363423535806054,0.47857008170922233,2.5732104572964554,trapezoidal,3,0.19759123856598604,0.07733188759873602,0.13555036016566852,0.07304931492630011,0.0,0.8665049519856319,apogee,rocket_0003,dataset\trajectories\rocket_0003_trajectory.csv
5,147.57358061744958,84.25508592057612,Pro54-5G Barasinga,0.06540024787640668,7.654965083950922,"(8.961998989119808, 8.961998989119808, 0.02273022561200998)",1.3773237976612083,0.5602314184557045,2.5732528798062253,trapezoidal,3,0.24007369117795146,0.14974812823052885,0.2374106425838315,0.00194422627163654,0.0,1.0393846018243116,apogee,rocket_0004,dataset\trajectories\rocket_0004_trajectory.csv
3,217.7584852348021,85.65534213556919,Pro54-5G Barasinga,0.07329090610605618,11.690181651583877,"(8.108073092837941, 8.108073092837941, 0.026201289736994413)",1.4482793254151307,0.4614435009074637,1.8277819359045049,elyptique,3,0.22654512686437864,0.05350730418204605,0.1902131414115879,0.03788543679326159,0.0,0.8072621250536711,apogee,rocket_0005,dataset\trajectories\rocket_0005_trajectory.csv
1,44.81480379155721,85.17881852995826,Pro75M1670,0.09214042184813434,15.774537327636068,"(7.915161604224907, 7.915161604224907, 0.07414093946426309)",1.7692891479840938,0.4351981477805308,2.9642166391612346,elyptique,3,0.3118153828602349,0.1735511979652425,0.23563556764759844,0.05383288542518436,0.0,1.1084657397387436,apogee,rocket_0006,dataset\trajectories\rocket_0006_trajectory.csv
0,300.82172094304076,85.18477688427247,Pro75-3G,0.10544148971627867,18.276342351447873,"(15.324050130600034, 15.324050130600034, 0.023495656819236523)",1.0164063783802237,0.34484944459734873,1.9568433175427842,elyptique,4,0.25883795626484685,0.17858177342614784,0.19096793969186343,0.06204556040323424,0.0,1.0290862408517145,apogee,rocket_0007,dataset\trajectories\rocket_0007_trajectory.csv
10,52.590169410043515,84.4745612090846,Pro75M1670,0.07192776854052702,6.568702739583438,"(3.628613021990802, 3.628613021990802, 0.009283505114267277)",0.886416271302646,0.38509341132304953,1.5960346451630663,trapezoidal,4,0.2178081422217366,0.0832020233647926,0.22727954620478716,0.08473213538198687,0.0,0.8499625812807445,apogee,rocket_0008,dataset\trajectories\rocket_0008_trajectory.csv
4,152.38881211032157,84.97078896992214,Pro54-5G Barasinga,0.08402368442565294,22.501201548947225,"(20.405327894957964, 20.405327894957964, 0.03797613501857886)",1.057549292197663,0.37168782268974954,1.565698620737509,trapezoidal,3,0.3231857091720453,0.1454427600918855,0.16953280521158914,0.0932061189899807,0.0,1.048865122692658,apogee,rocket_0009,dataset\trajectories\rocket_0009_trajectory.csv
2,114.69384361202198,88.83617820746517,Pro75-3G,0.1488259362657765,20.509726229747386,"(23.587690248451494, 23.587690248451494, 0.02184349259142858)",1.016408057415303,0.4291721345244831,1.7660479878452726,trapezoidal,4,0.2615582714127608,0.09142694477236615,0.21035334362096206,0.02007029981686802,0.0,1.0647261862286432,apogee,rocket_0010,dataset\trajectories\rocket_0010_trajectory.csv
